,route_id,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
4892,14806,13121011420,28.5,33950,282,616
4893,14806,13121011405,20.3,61071,142,206
4896,14806,13121011421,18.8,46373,103,265
4909,14806,13121011611,10.3,63481,300,166
4920,14806,13121011616,5.4,47964,163,89
4923,14806,13121011618,6.2,144028,138,0
4925,14806,13121011619,4.6,94716,63,89
4954,14806,13121011416,2.4,121288,53,0
4975,14737,13121010121,5.7,114886,118,11
4980,14737,13121010212,25.3,50521,287,176
4990,14737,13121010211,6.2,189091,81,70
4992,14737,13121010114,18.4,78545,230,289
4994,14737,13121009900,0.8,250000,61,0
5003,14737,13121009601,7.8,161250,40,15
5009,14737,13121009603,13.2,125515,270,109
5017,14737,13121009403,21.0,49161,474,240
5018,14737,13121009602,2.3,135405,211,0
5025,14737,13121010001,2.7,133937,129,26
5049,14737,13121010113,24.1,54082,292,187
5061,14742,13089020801,12.7,66509,108,83
5063,14735,13089020801,12.7,66509,108,83
5064,14742,13089022500,32.1,105774,424,476
5071,14740,13089022500,32.1,105774,424,476
5077,14742,13089022600,9.7,132125,279,185
5084,14742,13089022301,15.8,90161,273,166
5090,14742,13089022402,26.2,100529,258,0
5091,14742,13089021504,26.2,86838,174,18
5098,14742,13089021602,11.4,91086,114,123
5104,14742,13089021604,0.9,193583,20,0
5109,14742,13089021410,29.7,39583,296,237
5118,14742,13089021412,4.5,140774,100,31
5122,14742,13089021204,44.3,19886,407,215
5149,14742,13089021414,31.6,34219,309,160
5159,14742,13089021603,7.9,99516,229,78
5201,14735,13121001201,13.1,66672,288,107
5203,14735,13121001300,23.3,105924,269,196
5208,14784,13121001300,23.3,105924,269,196
5213,14735,13121001400,7.8,66806,39,0
5214,14784,13121001400,7.8,66806,39,0
5217,14735,13121001500,13.1,121622,431,99
5218,14784,13121001500,13.1,121622,431,99
5223,14735,13089020200,8.6,145625,46,12
5227,14735,13089022403,6.2,187868,72,10
5232,14735,13089022500,32.1,105774,424,476
5239,14735,13089020300,7.2,127917,28,0
5266,14740,13089023422,14.7,56573,66,303
5268,14740,13089023424,10.4,59286,68,277
5272,14740,13089023421,22.6,38500,215,584
5296,14740,13089023504,44.7,23906,325,465
5316,14740,13089023501,38.3,27417,341,377
5324,14740,13089023101,28.5,50221,221,376
5334,14740,13089020802,15.7,61458,228,313
5342,14740,13089022800,8.6,116250,55,78
5362,14740,13089022600,9.7,132125,279,185
5368,14740,13089023419,14.3,69574,127,412
