,route_id,trip_headsign,stop_name
626,14993,,WESTMONT RD SW @ 1310
627,14993,,WESTMONT RD SW@AVON AVE SW
628,14993,,AVON AVE SW@GRAYMONT DR SW
629,14993,,AVON AVE@ELIZABETH AVE
630,14993,,AVON AVE@KENILWORTH DR
631,14993,,AVON AVE SW@LORENZO DR SW
632,14993,,AVON AVE SW@EPWORTH ST SW
633,14993,,WYLAND DR SW@EDGEFIELD DR SW
634,14993,,WYLAND DR SW@LANVALE DR SW
635,14993,,WYLAND DR SW@BLUEFIELD DR SW
636,14993,,WYLAND DR SW@ALMONT DR SW
637,14993,,ALMONT DR SW@EDGEFIELD DR SW
638,14993,,ALMONT DR SW@INDALE PL SW
639,14993,,ALMONT DR@OAKLAND DR
640,14993,,OAKLAND DR SW@MERRILL AVE SW
641,14993,,MERRILL AVE SW@HALL ST SW
642,14993,,MERRILL AVE SW@LAWTON ST SW
643,14993,,LAWTON ST SW@MONTREAT AVE SW
644,14993,,LAWTON ST SW@RICHLAND RD SW
645,14993,,LAWTON ST SW@DONNELLY AVE SW
646,14993,,LAWTON ST SW@MATHEWS ST SW
647,14993,,LAWTON ST SW@OGLETHORPE AVE SW
648,14993,,OGLETHORPE AVE SW@LAWTON ST SW
649,14993,,OGLETHORPE AVE SW@PEEPLES ST SW
650,14993,,OGLETHORPE AVE SW@AZALIA ST SW
651,14993,,OGLETHORPE AVE SW@ JOSEPH E LOWERY BLVD
652,14993,,OGLETHORPE AVE SW @ EVANS ST SW
655,14764,,RALPH D ABERNATHY BLVD @ W WHITEHALL ST
703,14746,,PEACHTREE ST @ MARTIN L KING JR DR
751,14764,,FORTYTHREE 75 APARTMENTS
752,14764,,RALPH D ABERNATHY BLVD SW @ DUNN ST SW
753,14764,,RALPH D ABERNATHY BLVD SW @ JOSEPH E LOWERY BLVD
754,14764,,RALPH DAVID ABERNATH BLVD@PEEPLES S
755,14764,,RALPH D ABERNATHY BLVD SW @ LAWTON ST SW
756,14764,,RALPH DAVID ABERNATH BLVD@ATWOOD S
757,14764,,RALPH D ABERNATHY BLVD @ LANGHORN ST
758,14764,,CASCADE AVE SW@WESTWOOD AVE SW
759,14764,,CASCADE AVE@ROGERS AVE
760,14764,,CASCADE AVE SW@OLYMPIAN WAY SW
761,14764,,CASCADE AVE SW@BEECHER ST SW
762,14764,,CASCADE AVE SW @ WESTHAVEN DR SW
763,14764,,CASCADE AVE SW@RICHLAND RD 
764,14764,,CASCADE AVE SW@ALTADENA PL SW
765,14764,,CASCADE AVE@CASCADE TER
766,14764,,CASCADE AVE SW@ CASCADE CIR
767,14764,,CASCADE AVE SW@1113
768,14764,,CASCADE AVE SW @ CASCADE CIR SW
769,14764,,CASCADE RD SW@CENTRA VILLA DR SW
770,14764,,CASCADE RD SW@POLLARD DR SW
771,14764,,CASCADE RD SW @ BOULEVARD LORRAINE SW
772,14764,,CASCADE RD SW@DOLPHIN DR SW
773,14764,,CASCADE RD @ BEECHER RD
774,14764,,CASCADE RD SW @ VENETIAN DR SW
775,14764,,CASCADE RD SW @ AUDUBON CT
776,14764,,CASCADE RD@WILLIS MILL RD
777,14764,,CASCADE RD SW@WOODLAND TER SW
778,14764,,CASCADE RD SW@VELTRE CIR 
779,14764,,CASCADE RD SW @ HARBIN RD SW 
780,14764,,CASCADE RD SW@LYNWAY LN SW
781,14764,,CASCADE RD @ LYNHURST DR
782,14764,,CASCADE RD SW@CHILDRESS DR 
783,14764,,CASCADE RD SW@CASCADE FALLS DR 
784,14764,,CASCADE RD SW@KINGSDALE DR SW
785,14764,,CASCADE RD SW@SHANTER TRL SW
786,14764,,CASCADE AVE SW@3515
787,14764,,CASCADE RD@RESEARCH CENTER ATLA DR
788,14764,,CASCADE RD@3675
789,14764,,CASCADE RD @ FAIRBURN RD
790,14764,,CASCADE RD SW @ KIMBERLY RD SW
791,14764,,CASCADE RD SW @ BERACAH WALK
792,14764,,CASCADE RD SW@MANOR HILLS LN SW
793,14764,,CASCADE RD SW @ 4245
794,14764,,CASCADE RD SW @ 4355
883,14764,,CASCADE RD SW @ 4355
884,14764,,CASCADE RD SW @ 4245
885,14764,,CASCADE RD @ MANOR HILLS LN
886,14764,,CASCADE RD SW@DANFORTH RD SW
887,14764,,CASCADE RD SW @ KIMBERLY RD SW
888,14764,,CASCADE RD SW @ OLD CASCADE RD SW
889,14764,,CASCADE RD SW @ FAIRBURN RD SW
890,14764,,CASCADE RD SW @ UTOY SPRINGS RD SW
891,14764,,CASCADE RD@UTOY SPRINGS RD
892,14764,,CASCADE RD @ SHANTER TRL
893,14764,,CASCADE RD SW@KINGSDALE DR SW
894,14764,,CASCADE RD SW @ CASCADE FALLS DR 
895,14764,,CASCADE RD SW @ CHILDRESS DR 
896,14764,,CASCADE RD SW @ ADAMS DR SW
897,14764,,CASCADE RD SW @ HARBIN RD SW
898,14764,,CASCADE RD SW @ VELTRE CIR SW
899,14764,,CASCADE RD SW @ WOODLAND TER SW
900,14764,,CASCADE RD SW @ DODSON DR SW
901,14764,,CASCADE RD SW @ WILLIS MILL RD SW
902,14764,,CASCADE RD SW @ VENETIAN DR SW
903,14764,,CASCADE RD SW @ BOULEVARD GRANADA SW
904,14764,,CASCADE RD SW @ DOLPHIN DR SW
905,14764,,CASCADE RD SW @ BOULEVARD LORRAINE SW
906,14764,,CASCADE RD SW @ POLLARD DR SW
907,14764,,CASCADE RD SW @ CENTRA VILLA DR SW
908,14764,,CASCADE AVE SW @ AVON AVE SW
909,14764,,CASCADE AVE SW@1120
910,14764,,CASCADE AVE SW @ CASCADE CIR SW
911,14764,,CASCADE AVE SW @ ORLANDO ST SW
912,14764,,CASCADE AVE SW@PINEVIEW TER SW
913,14764,,CASCADE AVE SW@RICHLAND RD SW
914,14764,,CASCADE AVE SW@WESTHAVEN DR SW
915,14764,,CASCADE AVE@BEECHER ST
